City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,aasiaat,68.7098,-52.8699,4.27,88,100,6.73,GL,1692926281
84,alice springs,-23.7,133.8833,19.75,18,0,5.14,AU,1692926281
85,isafjordur,66.0755,-23.124,12.82,59,0,1.94,IS,1692926282
86,itoman,26.1247,127.6694,31.21,76,75,2.57,JP,1692926284
87,chinde,26.8418,88.0763,17.91,97,100,1.91,NP,1692926286
88,hithadhoo,-0.6,73.0833,28.06,72,74,4.96,MV,1692926287
89,ghadamis,30.1337,9.5007,26.66,34,0,4.26,LY,1692926288
90,souillac,-20.5167,57.5167,23.21,73,40,5.66,MU,1692926289
91,longyearbyen,78.2186,15.6401,7.91,87,75,4.63,SJ,1692926289
92,college,64.8569,-147.8028,22.18,72,100,2.06,US,1692926290
93,ust-nera,64.5667,143.2,9.55,69,100,2.25,RU,1692926291
94,touros,-5.1989,-35.4608,24.86,85,10,5.82,BR,1692926292
95,tazacorte,28.629,-17.9293,26.75,66,0,4.12,ES,1692926292
96,macapa,0.0389,-51.0664,27.99,78,0,2.57,BR,1692926294
97,carnarvon,-24.8667,113.6333,20.93,57,0,4.66,AU,1692926295
98,bikenibeu village,1.3673,173.1241,31.98,66,20,2.06,KI,1692926296
99,laojunmiao,39.8333,97.7333,19.9,28,28,4.66,CN,1692926297
100,atafu village,-8.5421,-172.5159,27.96,79,30,5.98,TK,1692926298
101,tengrela,10.4869,-6.4097,23.45,87,99,1.2,CI,1692926298
102,island harbour,50.724,-1.2758,14.54,89,100,0.89,GB,1692926299
103,blackmans bay,-43.0167,147.3167,12.07,85,54,4.94,AU,1692926300
104,broken hill,-31.95,141.4333,18.06,26,100,2.04,AU,1692926301
105,kerikeri,-35.2268,173.9474,14.95,77,98,0.45,NZ,1692926302
106,labrador city,52.9463,-66.9114,9.94,88,72,2.95,CA,1692926303
107,pyt-yakh,60.7499,72.8582,7.7,82,21,2.49,RU,1692926304
108,bubaque,11.2833,-15.8333,27.19,83,100,3.79,GW,1692926300
109,kapuskasing,49.4169,-82.4331,17.05,94,75,1.03,CA,1692926305
110,sacaba,20.5833,-89.9833,29.05,62,100,3.12,MX,1692926307
111,adigrat,14.277,39.462,17.14,64,98,0.64,ET,1692926308
112,tchibanga,-2.85,11.0333,20.62,89,100,1.19,GA,1692926308
113,saudarkrokur,65.7461,-19.6394,12.45,59,0,3.51,IS,1692926309
114,constantia,44.1833,28.65,21.5,81,16,2.02,RO,1692926310
115,westport,41.1415,-73.3579,22.26,82,100,4.12,US,1692926310
